PRODUTO           |KIT ID             |QTDE            |COD INTERNO
TP 4X8000         |HG311-18-6-DKO     |          1,0000|       332605
TP 4X8000         |KARCHER-4          |          1,0000|        20090
TRANSCORP 350     |2807-12            |          0,3500|        12311
TRANSCORP 350     |HG207-26-10        |          2,0000|        18717
TRANSERP 10000    |0518CTA1/4X3/8     |          1,0000|        10613
TRANSERP 10000    |1B-6               |         10,0000|        11908
TRANSERP 10MTS    |100-6-6            |          1,0000|        11048
TRANSERP 10MTS    |100R1AT-6          |         10,0000|        11092
TRANSERP 10MTS    |101-8-6            |          1,0000|        11163
TRANSERP 12000    |100-6-6            |          2,0000|        11048
TRANSERP 12000    |100R1AT-6          |         12,0000|        11092
TRANSERP 14000    |100R1AT-8          |         14,0000|        11093
TRANSERP 14000    |HG560-8-8          |          2,0000|        18852
TRANSERP 15000    |100R1AT-6          |         15,0000|        11092
TRANSERP 15000    |101-4-6            |          1,0000|        11156
TRANSERP 15000    |HG560-4-6          |          1,0000|       335777
TRANSERP 4X800    |MF-7/16-4          |          2,0000|        21053
TRANSERP 4X800    |TBT-4              |          0,8000|        25758
TRANSERP.12000    |100-6-6            |          1,0000|        11048
TRANSERP.12000    |100R1AT-6          |         12,0000|        11092
TRANSERP.12000    |HG560-6-6          |          1,0000|        18850
TRANSERP.15000    |0518CTA1/4X3/8     |          1,0000|        10613
TRANSERP.15000    |1B-6               |         15,0000|        11908
TRANSPETRO 500    |100-4-4            |          2,0000|        11040
TRANSPETRO 500    |2807-5             |          0,5000|        12316
TRES 5X2000       |0518CTA1/4X516     |          2,0000|        10614
TRES 5X2000       |1B-5               |          2,0000|        11907
TRES 5X2000       |CASQUINHA 16       |          2,0000|        15281
TRES 5X6000       |0518CTA1/4X516     |          1,0000|        10614
TRES 5X6000       |1B-5               |          6,0000|        11907
TRES 5X6000       |AD767E5/16         |          1,0000|        13712
TRES 5X6000       |CASQUINHA 16       |          2,0000|        15281
TRES 5X8000       |0518CTA1/4X516     |          1,0000|        10614
TRES 5X8000       |1B-5               |          8,0000|        11907
TRES 5X8000       |AD767E5/16         |          1,0000|        13712
TRES 5X8000       |CASQUINHA 16       |          2,0000|        15281
TRILHA 6X10000    |100R2AT-6          |         10,0000|        11107
TRILHA 6X10000    |CRISTAL-16         |         10,0000|        15998
TRILHA 6X10000    |KARCHER-6          |          2,0000|        20098
TRINCO            |1880               |          1,0000|       341270
TRINCO            |1896               |          1,0000|       341269
TV 12X1100        |100-12-12          |          2,0000|        11026
TV 12X1100        |100R2AT-12         |          1,1000|        11100
TV 8X7600         |100R2AT-8          |          7,6000|        11108
TV 8X7600         |101-8-8            |          1,0000|        11164
TV 8X7600         |112-10-8           |          1,0000|        11426
