BARRA           |NOME                                      |GRUPO  |UNIDADE     |ICMS       |ORIGEM    |COMPRA         |MARGEM     |VENDA          |EST MINIMO       |EST ATUAL        |KIT  |ATIVO  |COD INTERNO|NCM           |RED BASE   |OBS1                                                          |OBS2
0203CG 1/4X1/2  |CONECTOR MACHO 0203CG 1/4X1/2N            |      3|UN          |    18,0000|000       |          10,25|   100,0000|          20,50|           0,0000|          40,0000|N    |S      |    10165  |74122000      |     0,0000|                                                              |                                                              
0203CG 1/4X1/4  |CONECTOR MACHO 0203CG 1/4X1/4N            |      3|UN          |    18,0000|000       |           1,88|   100,0000|           3,76|          50,0000|         318,0000|N    |S      |    10166  |74122000      |     0,0000|                                                              |                                                              
0203CG 1/4X1/8  |CONECTOR MACHO 0203CG 1/4X1/8N CORPO      |      3|UN          |    18,0000|000       |           1,58|   100,0000|           3,16|           0,0000|         224,0000|N    |S      |    10167  |74122000      |     0,0000|                                                              |                                                              
0203CG 3/8X1/4  |CONECTOR MACHO 0203CG 3/8X1/4N CORPO      |      3|UN          |    18,0000|000       |           2,45|   100,0000|           4,90|          50,0000|        1143,0000|N    |S      |    10172  |74122000      |     0,0000|                                                              |                                                              
0203CG3/16X1/8  |CONECTOR MACHO 0203CG 3/16X1/8N           |      3|UN          |    18,0000|000       |           1,20|   100,0000|           2,40|          20,0000|          63,0000|N    |N      |    10175  |              |     0,0000|                                                              |                                                              
0203CG5/16X1/8  |CONECTOR MACHO 0203CG 5/16X1/8N CORPO     |      3|UN          |    18,0000|000       |           0,96|   100,0000|           1,92|          50,0000|          17,0000|N    |S      |    10177  |74122000      |     0,0000|                                                              |                                                              
0205CG 1/4X1/4  |CONECTOR FEMEA 0205CG 1/4X1/4N            |      3|UN          |    18,0000|000       |           3,09|   100,0000|           6,18|          50,0000|          26,0000|N    |S      |    10188  |74122000      |     0,0000|                                                              |                                                              
0205CG 1/4X1/8  |CONECTOR FEMEA 0205CG 1/4X1/8N CORPO      |      3|UN          |    18,0000|000       |           2,03|   100,0000|           4,06|          50,0000|         335,0000|N    |S      |    10189  |74122000      |     0,0000|                                                              |                                                              
0205CG5/16X1/4  |CONECTOR FEMEA 0205CG 5/16X1/4N           |      3|UN          |    18,0000|000       |           2,20|   100,0000|           4,40|          50,0000|          76,0000|N    |N      |    10192  |              |     0,0000|                                                              |                                                              
0206CG 1/4X1/4  |COTOVELO MACHO 0206CG 1/4X1/4N            |      3|UN          |    18,0000|000       |           3,84|   100,0000|           7,68|          50,0000|         291,0000|N    |S      |    10196  |74122000      |     0,0000|                                                              |                                                              
